"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"Miasteczko Wilanów, 4 pokoje, taras,2 X garaż",2650000,22083,4,120,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","4/4","balkon, taras","1 745 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,NA,NA,"tak","monitoring / ochrona","meble"
"Super lokalizacja- Wyjątkowy apartament -ogródek",1400000,28000,2,50,"Śródmieście Północne","Śródmieście","pełna własność","do wykończenia","parter/8","ogródek, taras","400 zł","garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"Najwyższe piętro, top lokalizacja, metro i S2 obok",2100000,15000,4,140,"Stary Imielin","Ursynów","pełna własność","do wykończenia","8/8","balkon, taras","1 500 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2005,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","beton komórkowy"
"Blisko Metra Onz,Tętniąca Życiem Stolica",550000,20370,2,27,"Mirów","Wola","pełna własność","do remontu","> 10/15","balkon","500 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1972,"blok",NA,"tak","monitoring / ochrona","żelbet"
"Mieszkanie - Warszawa Włochy",998500,14705,3,67.9,"Raków","Włochy",NA,NA,"1/6",NA,NA,NA,NA,"wtórny","biuro nieruchomości",2026,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"4 oddzielne pok. + kuchnia |balkon|piwnica| Wola",789000,14887,4,53,"Nowolipki","Wola","pełna własność","do remontu","4/4","balkon","500 zł",NA,"miejskie","wtórny","biuro nieruchomości",1970,"blok",NA,"nie","domofon / wideofon","inny"
"Miasteczko Wilanów, 4 pokoje, taras,2 X garaż",2650000,22083,4,120,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","4/4","balkon, taras","1 745 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,NA,NA,"tak","monitoring / ochrona","meble"
"Wola, ul. Radziwie, 2 pokoje, balkon, garaż",9e+05,17308,2,52,"Młynów","Wola","pełna własność","do zamieszkania","9/14","balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2013,NA,NA,"tak","monitoring / ochrona","meble"
"2-pok. świetna lokalizacja-Żoliborz, Osiedle Potok",735000,15638,2,47,"Stary Żoliborz","Żoliborz","pełna własność","do remontu","2/12","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",NA,"blok",NA,"tak","monitoring / ochrona","żelbet"
"2 pok.| balkon + msc. postojowe | Lewandów",582300,13998,2,41.6,"Grodzisk","Białołęka","pełna własność","do zamieszkania","parter/2","balkon","520 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2010,"blok",NA,"tak","teren zamknięty, domofon / wideofon","oddzielna kuchnia"
"5 pokoi z ogrodem i tarasem bez czynszu",1299000,10022,5,129.62,"Grabów","Ursynów","pełna własność","do zamieszkania","1/2","ogródek, taras",NA,"garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2016,"blok",NA,"nie","monitoring / ochrona","2024-01-31"
"Mieszkanie, 73,50 m², Warszawa",1617000,22000,3,73.5,"Stare Włochy","Włochy",NA,NA,"2/2","taras","700 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2017,NA,NA,"nie",NA,"cegła"
"Rozkładowe, słoneczne 3 pokoje Gocław Aura Sky !",920000,15662,3,58.74,"Gocławek","Praga-Południe","pełna własność","do zamieszkania","1/17","balkon, ogródek","950 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2017,"apartamentowiec",NA,"tak","monitoring / ochrona, domofon / wideofon","inny"
"Mieszkanie, 49,50 m², Warszawa",650000,13131,2,49.5,"Bemowo-Lotnisko","Bemowo",NA,NA,"5/10","balkon","580 zł",NA,NA,"wtórny","biuro nieruchomości",1980,"blok",NA,"nie",NA,"wielka płyta"
"2 mieszkania, 3 pokoje ul. Ciasna, Stare Miasto !",1095000,13808,3,79.3,"Nowe Miasto","Śródmieście","pełna własność","do zamieszkania","4/4",NA,"950 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1956,"blok",NA,"nie","monitoring / ochrona, domofon / wideofon","inny"
"Sprzedam apartament w Unique",743700,26800,1,27.75,"Ulrychów","Wola",NA,NA,"4/28","balkon",NA,NA,NA,"wtórny","prywatny",2021,"apartamentowiec",NA,"tak",NA,"silikat"
"Na sprzedaż 2-pokojowe mieszkanie na Woli",1099000,22429,2,49,"Odolany","Wola","pełna własność","do zamieszkania","3/7","balkon","684 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2015,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","pom. użytkowe"
"Mieszkanie 2 p.w kamienicy przy ul. Krochmalnej",1060000,21633,2,49,"Mirów","Wola","pełna własność","do remontu","1/3",NA,"910 zł",NA,"miejskie","wtórny","biuro nieruchomości",1939,"kamienica",NA,"nie",NA,"cegła"
"42 m2 | nowy apartament | piękny widok",929000,22119,2,42,"Służewiec","Mokotów","pełna własność","do zamieszkania","2/6","balkon","600 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak",NA,"pustak"
"Klimatyczne 3 pokoje, 2-piętrowe, Żoliborz",1340000,18873,3,71,"Stary Żoliborz","Żoliborz",NA,NA,NA,NA,NA,NA,NA,"wtórny","biuro nieruchomości",1929,NA,NA,"nie",NA,"inne"
"Kawalerka, 34m2, Wola. ul. Ogrodowa",660000,19208,1,34.36,"Mirów","Wola",NA,NA,NA,NA,NA,NA,NA,"wtórny","biuro nieruchomości",1951,"kamienica",NA,"tak",NA,"cegła"
"Kawalerka, balkon, do zamieszkania Wola, ul.Ciołka",460000,23590,1,19.5,"Koło","Wola",NA,"do zamieszkania",NA,NA,NA,NA,NA,"wtórny","biuro nieruchomości",1955,"blok",NA,"nie",NA,"piwnica"
"Mieszkanie, 58 m², Warszawa",1430000,24655,2,58,"Śródmieście Północne","Śródmieście",NA,NA,NA,"balkon",NA,NA,NA,"wtórny","biuro nieruchomości",1958,"kamienica",NA,"nie",NA,"cegła"
"Mieszkanie, 49,90 m², Warszawa",699000,14008,2,49.9,"Jelonki Południowe","Bemowo",NA,"do remontu","5/10","balkon",NA,NA,NA,"wtórny","biuro nieruchomości",1974,"blok",NA,"tak","monitoring / ochrona","inne"
"Mieszkanie, 138,72 m², Warszawa",4400000,31719,4,138.72,"Saska Kępa","Praga-Południe",NA,NA,"2/2",NA,NA,NA,"gazowe","wtórny","biuro nieruchomości",1996,"kamienica",NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"Najlepsza OFERTA mieszkanie 4 pokojowe w 2",610000,11091,4,55,"Białołęka Dworska","Białołęka","pełna własność","do wykończenia","parter/2","balkon, ogródek, taras",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2024,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","pom. użytkowe"
"✅M2 przy metrze z osobną kuchnią balkonem, piwnicą",680000,14912,2,45.6,"Służew","Mokotów","spółdzielcze wł. prawo do lokalu","do remontu","6/11","balkon","880 zł",NA,"miejskie","wtórny","biuro nieruchomości",1976,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","piwnica, oddzielna kuchnia"
"Nowe mieszkanie w kamienicy, miejsce postojowe",1099000,28921,2,38,"Śródmieście Południowe","Śródmieście","pełna własność","do zamieszkania","2/6",NA,"400 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1956,"kamienica",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","cegła"
"Po remoncie 2 pokoje - Saska Kępa ul. Ateńska 2",594000,19800,2,30,"Saska Kępa","Praga-Południe","spółdzielcze wł. prawo do lokalu","do zamieszkania","3/10","balkon","400 zł",NA,"miejskie","wtórny","prywatny",1975,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","inny"
"Nowe budownictwo | Cicho i spokojnie | Garaż",549000,14838,2,37,"Żerań","Białołęka","pełna własność","do zamieszkania","1/4","balkon","400 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2016,NA,NA,"nie",NA,"meble"
"2-pokojowe mieszkanie 42m2 + balkon",625242,14646,2,42.69,"Gołąbki","Ursus","pełna własność","do wykończenia","2/2","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"3 pok. | Plac Grzybowski | Śródmieście | Bezpośred",1186000,19916,3,59.55,"Śródmieście Północne","Śródmieście","pełna własność","do remontu","3/3",NA,"780 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",1952,"kamienica",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"2 pokoje na zamkniętym osiedlu! Tarchomin!",749000,14404,2,52,"Nowodwory","Białołęka","pełna własność","do zamieszkania","4/4","balkon","680 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2008,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Apartament 3 pokoje, 2 tarasy oszałamiający widok!",1640000,18749,3,87.47,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","3/4","balkon, taras","1 050 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2010,"apartamentowiec",NA,"tak","system alarmowy, monitoring / ochrona","meble"
"Nowe dwa pokoje 2 min. od Metra!",924069.74,19954,2,46.31,"Kabaty","Ursynów",NA,NA,"1/5","taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","domofon / wideofon","inny"
"Apartament o wysokim standardzie estetycznym",2200000,28205,2,78,"Stegny","Mokotów","pełna własność","do zamieszkania","1/2","balkon","1 200 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2020,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"2-pokojowe mieszkanie 42m2 + balkon Bez Prowizji",611661,14328,2,42.69,"Gołąbki","Ursus","pełna własność","do wykończenia","1/2","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Mieszkanie z ogrodem w segmencie dwu lokalowym",1299000,19718,3,65.88,"Stare Bielany","Bielany","pełna własność","do zamieszkania","parter/1","ogródek, taras","700 zł",NA,NA,"wtórny","biuro nieruchomości",1934,"kamienica",NA,"nie",NA,"cegła"
"2-pokojowe mieszkanie 58,9 m2, Kazachska",929000,15772,2,58.9,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","parter/4","balkon","540 zł",NA,"miejskie","wtórny","biuro nieruchomości",2012,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","żelbet"
"3-pokojowe na Ursynowie | 63,77 m2 | ul. Cybisa",955000,14976,3,63.77,"Ursynów Północny","Ursynów","spółdzielcze wł. prawo do lokalu","do zamieszkania","3/4","balkon","800 zł",NA,"miejskie","wtórny","prywatny",1988,"blok",NA,"nie","domofon / wideofon","wielka płyta"
"BEZPOŚREDNIO m3pokojowe z garażem dwustanowiskowym",1500000,18519,3,81,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","1/4","balkon","1 055 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2018,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon","inny"
"400mDoSKM*20minDoCENTRUM*ZIELONO*Ogród60m!!!",399000,14462,1,27.59,"Białołęka Dworska","Białołęka","pełna własność","do wykończenia","parter/3","ogródek",NA,"garaż/miejsce parkingowe","miejskie",NA,"deweloper",2025,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon","pom. użytkowe"
"Kawalerka po remoncie, Placu Konstytucji, Metro",799900,29981,1,26.68,"Śródmieście Południowe","Śródmieście","pełna własność","do zamieszkania","1/6",NA,"520 zł",NA,"miejskie","wtórny","biuro nieruchomości",1950,"blok",NA,"tak",NA,"cegła"
"Mokotów, 4pok. Cybernetyki 2A, 74m2, 2 miejsca",1299000,17394,4,74.68,"Służewiec","Mokotów","pełna własność","do zamieszkania","1/9",NA,"1 081 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","monitoring / ochrona","oddzielna kuchnia"
"Nowoczesny bliźniak z tarasem na dachu, Wawer",1750000,7652,6,228.69,"Marysin Wawerski","Wawer",NA,NA,NA,"ogródek",NA,NA,NA,NA,"biuro nieruchomości",2022,NA,NA,"nie",NA,"oddzielna kuchnia"
"Okazja, 3 pokoje z balkonem do wprowadzenia!!!",963225,14270,3,67.5,"Gocław","Praga-Południe","pełna własność",NA,"2/3",NA,"890 zł",NA,"miejskie","wtórny","biuro nieruchomości",1989,"blok",NA,"nie",NA,"żelbet"
"Bezpośrednio 40 metrowe mieszkanie na Mokoto",950000,23750,2,40,"Sielce","Mokotów","pełna własność","do zamieszkania","2/3","balkon","500 zł",NA,"miejskie","wtórny","prywatny",NA,"kamienica",NA,"nie","domofon / wideofon","cegła"
"Elegancki trzypokojowy apartament , Osiedle Saska",1295640,18300,3,70.8,"Gocław","Praga-Południe","pełna własność","do zamieszkania","4/7","taras","840,72 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,"apartamentowiec",NA,"tak","monitoring / ochrona","cegła"
"3 pokoje, Osiedle Saska",1039000,18196,3,57.1,"Gocław","Praga-Południe","pełna własność","do zamieszkania","1/6","balkon","958 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2011,"apartamentowiec",NA,"tak","monitoring / ochrona","cegła"
"3 pokoje, Metro Pole Mokotowskie, 48m2",959000,19979,3,48,"Stary Mokotów","Mokotów","pełna własność",NA,"4/15",NA,"520 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1968,"blok",NA,"tak","monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Wyremontowane | Balkon | Piwnica | Salon 19m2",725000,17344,2,41.8,"Służew","Mokotów","pełna własność","do zamieszkania","4/10","balkon","640 zł",NA,NA,"wtórny","biuro nieruchomości",1972,"blok",NA,"tak","domofon / wideofon","piwnica"
"Dwupoziomowy apartament na Górnym Mokotowie -basen",3400000,33010,4,103,"Stary Mokotów","Mokotów","pełna własność","do zamieszkania","3/5","taras",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","dwupoziomowe"
